autor,link,chiste,manitas
Grimmer8,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/251#7501,"
										Un tío que se estaba ahogando y chillaba:

 - Socooorrooooo! Que me ahoooogoooo!!

 En eso que pasa un tio por la orilla y le dice:

 - Llore!!

 - Que me ahoooogooo!!

 - Llooooreeee!!

 - ¿Y para qué quiere que lloooreee?

 - Para que se desahogue hombreee!! Para que se desahogue!!									",1
filemontv,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/251#7502,"
										
  grande eugenio									",0
KinachO,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/251#7503,"
										Cariño, estás resfriado? Do.									",0
raulion,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/251#7504,"
										-¿Porque los niños de Etiopía no ven los Simpson? 

- Porque los echan después de comer....									",1
denon,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/251#7505,"
										
  Mas repetido que Homer cuando va por la calle con un traje de muelles									",0
elfito,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/251#7506,"
										Eres tan guarra que te es imposible comerte un platano sin agarrarte el pelo.

BADUMTSS!									",1
MILF,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/251#7507,"
										eres tan guarra que lanzas un puñado de pollas al aire y ninguna toca el suelo									",1
Adamantium,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/251#7508,"
										",1
Eustakiooo,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/251#7509,"
										Esto es James Bond que ve al rey y le dice:

- Hola, soy Bond, James Bond.

- Yo soy Bon, Borbon									",1
Li3cht,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/251#7510,"
										
  ",1
txikitin9,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/251#7511,"
										
  Manolo llama
  El 1004									",1
Ew0k,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/251#7512,"
										
  ¿Y quién contesta?									",0
Sergiogiogio,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/251#7513,"
										No me apetece escribirlo bien:

eso es un chaval q entra en un bar pide una fanta el camarero y le dice que no hay, así pues le pide un cocacola, a los 2 minutos aparece el camarero con la fanta, q peli es
									",0
doJi,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/251#7514,"
										Estaban 3 Coroneles de 3 Fragatas reunidas, cada Coronel perteneciente a un Pais, había uno de Francia, otro Alemán y por último estaba el Coronel Español.

En un alarde de orgullo y valentía hacia su propio ejercito, decidieron ver que ejercito era que estaba mejor y más cojones tenía.

Primero el coronel francés mando llamar a uno de sus hombres:

- “¡¡Cabo Françuá!! , tírese al agua inmediatamente sin ningún tipo de arma y caceme un tiburón blanco!”

- “A sus órdenes mi Coronel!”, responde el cabo.

El cabo se desviste y se tira al agua… a los 15 minutos sale del agua con un tiburón blanco de 3 metros…

- “No esta mal”, dice el Coronel Alemán, -”ahora le toca a uno de mis hombres…”

- “¡¡Cabo Deirmisch!!, quítese la ropa, tírese al agua y no salga hasta haberme cazado 5 tiburones blancos de 4 metros cada uno.

El cabo sale del agua al cabo de media hora con 5 tiburones blancos inmensos, el coronel Alemán estaba muy orgulloso de su hombre…

- “¡¡Ahora vereis!!”, dice el Español, “¡¡Cabo Pérez, venga aqui inmediatamente!!”

- “A sus órdenes mi Coronel, ¿Que es lo que desea?”, pregunta el cabo Pérez.

- “¡¡Desvistase y traigame 10 tiburones blancos!!”, ordena el Coronel Español.

Ante esta orden, el cabo responde: -”Con todos mis respetos mi Coronel…¡¡VA A IR SU P*** MADRE!!

Ante la cara de asombro de los Coroneles de Francia y Alemania, el Español dice:

- “¡¡Eso si que son COJONES!!”									",1
Jukar,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/251#7515,"
										Están un francés, un holandés, un inglés, un alemán y un español. Y va el español:

-¿qué van a tomar los señores?									",1
granaino127,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/2#31,"
										A un enfermo mental en su visita semanal un familiar le trae puros (tabaco, porros, como querais) y cuando es de noche le comenta al compañero de habitacion...

-Enfermo- Mira que puros mas ricos me han traido. Fumemos unos cuantos...

-Compañero- ¿ de donde sacamos el fuego ?..

Pasan las horas y ninguno de los 2 se le ocurre como encender los puros asi que aburridos ya de tanto intentar encontrar solucion dicen...

-Enfermo- ¿por que no nos acostamos y mañana buscamos solucion?

-Compañero- Ok, pues apaga la vela y vamos a dormir...

||| FIN |||

j3j3j3									",0
elfito,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/2#32,"
										Esto es un pulpo ke sale del agua y dice: ""Buenos dias""

Borracho puede ser el mejor chiste del mundo si le pone caracterizacion a lo zoiberg. Pero en realidad el chiste es malo malisimo xD									",0
DarkDog,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/2#34,"
										tenia un tio en el curro igual q ese un dia me cabreé con el y le dije ""eres un puto enano de mierda"" y estaba tan acomplejado q le poseyó el demonio y con un cuter que tenia intento rajarme !									",0
Ga1a,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/2#35,"
										-Mamá mamá, no me gusta el abuelo...

-Pues te comes las patatas solas!

Quien inventó el tetris? Un leproso colgado de una lámpara

PD: j3									",0
granaino127,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/2#36,"
										
   JAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAAJAJAJAJAA

PD: No lo pillo |O.O|									",0
